id,title,movement,case_material,year,condition,ref,box,papers,location,case_diameter,price,url
19894398,Rolex Submariner 16610LV Kermit Y series 2003 Fat Four Mark 1...,Automatic,Steel,2003,Very good,16610LV,Y,Y,"Monaco, Monaco",40 mm,"S$61,724",https://www.chrono24.sg/rolex/submariner-16610lv-kermit-y-series-2003-fat-four-mark-1-bezel--id19894398.htm
20708314,Rolex Oyster Date precision ref. 6694 with champagne dial 34mm,Manual winding,Steel,1969,Good,6694,N,N,"Singapore, Singapore",34 mm,"S$3,292",https://www.chrono24.sg/rolex/rolex-oyster-date-precision-ref-6694-with-champagne-dial-34mm--id20708314.htm
16147302,Rolex Oysterdate Precision,Manual winding,Steel,-,Good,6694,N,N,Singapore,34 x 40 mm,"S$3,200",https://www.chrono24.sg/rolex/rolex-oysterdate-precision--id16147302.htm
20184932,Rolex Daytona White dial in Stainless Steel Ref: 116520,Automatic,Steel,2008,Good,116520,Y,N,Singapore,40 mm,"S$31,050",https://www.chrono24.sg/rolex/rolex-daytona-white-dial-in-stainless-steel-ref-116520--id20184932.htm
20359151,Rolex GMT-Master II,Automatic,Steel,2008,Very good,116710LN,Y,Y,"Singapore, Singapore",40 mm,"S$16,500",https://www.chrono24.sg/rolex/gmt-master-ii--id20359151.htm
20055741,Rolex Explorer II,Automatic,Steel,2009,Very good,16570,Y,N,"Singapore, Singapore",40 mm,"S$12,450",https://www.chrono24.sg/rolex/explorer-ii--id20055741.htm
8943254,Rolex Lady-Datejust,Automatic,Steel,2006,Very good,179174,Y,Y,"Singapore, 162131",26 mm,"S$5,800",https://www.chrono24.sg/rolex/lady-datejust--id8943254.htm
20643975,"Rolex Submariner Date ""Red Sub"" service dial, watch only.",Automatic,Steel,1972,Fair,1680,N,N,Singapore,40 mm,"S$20,988",https://www.chrono24.sg/rolex/rolex-submariner-date-red-sub-service-dial-watch-only--id20643975.htm
20611078,Rolex Oyster Perpetual,Automatic,Steel,1969,Good,1002,N,N,"Singapore, Singapore",34 mm,"S$3,900",https://www.chrono24.sg/rolex/rolex-oyster-perpetual--id20611078.htm
19287335,Rolex Submariner Date Tritium Dial in Stainless Steel Ref: 16610,Automatic,Steel,1995,Good,16610,N,N,Singapore,40 mm,"S$12,985",https://www.chrono24.sg/rolex/rolex-submariner-date-tritium-dial-in-stainless-steel-ref-16610--id19287335.htm
