id,title,movement,case_material,year,condition,ref,box,papers,country,region,case_diameter,price,url,note,hot_48
19523603,Rolex Datejust Turn-O-Graph,Automatic,Gold/Steel,2008,Good,116261,Y,Y,Singapore,640640,36 mm,"S$13,600",https://www.chrono24.sg/rolex/datejust-turn-o-graph--id19523603.htm,,
19872512,Rolex Air King,Automatic,Steel,2019,Very good,116900,Y,Y,Singapore,singapore,40 mm,"S$12,400",https://www.chrono24.sg/rolex/air-king--id19872512.htm,,
20473426,"Rolex Oyster Perpetual Datejust for men, diamond dial and...",Automatic,Steel,1994,Very good,16234,N,N,Singapore,Singapore,36 mm,"S$7,500",https://www.chrono24.sg/rolex/rolex-oyster-perpetual-datejust-for-men-diamond-dial-and-jubilee-bracelet-ref-16234--id20473426.htm,,
20191813,Rolex Daytona,Automatic,Gold/Steel,1998,Fair,16523,N,N,Singapore,640174,40 mm,"S$24,000",https://www.chrono24.sg/rolex/daytona--id20191813.htm,,
19956731,Rolex Cellini,-,Yellow gold,1988,Good,4135,Y,N,Singapore,,27 x 36 mm,"S$4,600",https://www.chrono24.sg/rolex/rolex-cellini--id19956731.htm,,
20629118,Rolex Rootbeer RG GMT II 126715CHNR,Automatic,Rose gold,2020,Unworn,126715CHNR,Y,Y,Singapore,,40 mm,Price on request,https://www.chrono24.sg/rolex/rootbeer-rg-gmt-ii-126715chnr--id20629118.htm,,
19269583,Rolex Explorer 39mm Mark I Ref: 214270,Automatic,Steel,2013,Very good,214270,Y,Y,Singapore,,39 mm,"S$13,200",https://www.chrono24.sg/rolex/rolex-explorer-39mm-mark-i-ref-214270--id19269583.htm,,
19355154,Rolex WG | Blue Daytona 116509,Automatic,White gold,2021,Unworn,116509,Y,Y,Singapore,,40 mm,Price on request,https://www.chrono24.sg/rolex/wg--blue-daytona-116509--id19355154.htm,,
20162718,Rolex Yacht-Master,Automatic,Gold/Steel,1996,Very good,68623,N,N,Singapore,Singapore,35 mm,"S$10,500",https://www.chrono24.sg/rolex/yacht-master--id20162718.htm,,
19727324,Rolex RG | Chocolate Daytona 116505,Automatic,Rose gold,2020,Unworn,116505,Y,Y,Singapore,,40 mm,Price on request,https://www.chrono24.sg/rolex/rg--chocolate-daytona-116505--id19727324.htm,,
20493491,"Rolex Submariner 5513 ""meter 1st"", full set.",Automatic,Steel,1967,Fair,5513,Y,Y,Singapore,,40 mm,"S$31,071",https://www.chrono24.sg/rolex/rolex-submariner-5513-meter-1st-full-set--id20493491.htm,,
18999837,Rolex Submariner Date Black Dial Men's Watch 116610LN-0001,Automatic,Steel,-,New,116610LN,Y,N,United States of America,"California, Moorpark",40 mm,"S$23,313",https://www.chrono24.sg/rolex/submariner-date-black-dial-mens-watch-116610ln-0001--id18999837.htm,Top,
19687298,Rolex YG | MOP Diamond Index Daytona Oysterflex 116518LN,Automatic,Yellow gold,2021,Unworn,116518LN,Y,Y,Singapore,,40 mm,Price on request,https://www.chrono24.sg/rolex/yg--mop-diamond-index-daytona-oysterflex-116518ln--id19687298.htm,,
20708314,Rolex Oyster Date precision ref. 6694 with champagne dial 34mm,Manual winding,Steel,1969,Good,6694,N,N,Singapore,Singapore,34 mm,"S$3,292",https://www.chrono24.sg/rolex/rolex-oyster-date-precision-ref-6694-with-champagne-dial-34mm--id20708314.htm,,
19861200,Rolex GMT-Master II Ceramic Pepsi in 18K White Gold Ref:...,Automatic,White gold,2016,Very good,116719BLRO,Y,Y,Singapore,,40 mm,"S$58,230",https://www.chrono24.sg/rolex/rolex-gmt-master-ii-ceramic-pepsi-in-18k-white-gold-ref-116719blro--id19861200.htm,,
18790508,Rolex Rootbeer Two-Tone GMT II 126711CHNR,Automatic,Gold/Steel,2020,Unworn,126711CHNR,Y,Y,Singapore,,40 mm,Price on request,https://www.chrono24.sg/rolex/rootbeer-two-tone-gmt-ii-126711chnr--id18790508.htm,,
16147302,Rolex Oysterdate Precision,Manual winding,Steel,-,Good,6694,N,N,Singapore,,34 x 40 mm,"S$3,200",https://www.chrono24.sg/rolex/rolex-oysterdate-precision--id16147302.htm,,
2976648,Rolex Vintage Prince Chronometer 18K Yellow Gold,Manual winding,Yellow gold,-,Good,3059,N,N,Singapore,,21 x 42 mm,"S$20,577",https://www.chrono24.sg/rolex/vintage-prince-chronometer-18k-yellow-gold--id2976648.htm,,
18870366,Rolex YG | Black Daytona Oysterflex 116518LN,Automatic,Yellow gold,2020,Unworn,116518LN,Y,Y,Singapore,,40 mm,Price on request,https://www.chrono24.sg/rolex/yg--black-daytona-oysterflex-116518ln--id18870366.htm,,
20001798,Rolex GMT-Master,Automatic,Gold/Steel,1980,Good,1675,Y,N,Singapore,,40 mm,"S$16,500",https://www.chrono24.sg/rolex/rolex-gmt-master--id20001798.htm,,
20450730,Rolex SS | White Daytona 116500LN,Automatic,Steel,2021,Unworn,116500LN,Y,Y,Singapore,,40 mm,Price on request,https://www.chrono24.sg/rolex/ss--white-daytona-116500ln--id20450730.htm,,
20184932,Rolex Daytona White dial in Stainless Steel Ref: 116520,Automatic,Steel,2008,Good,116520,Y,N,Singapore,,40 mm,"S$31,050",https://www.chrono24.sg/rolex/rolex-daytona-white-dial-in-stainless-steel-ref-116520--id20184932.htm,,
19818475,Rolex Milgauss 1019 rare black dial,Automatic,Steel,1968,Very good,1019,Y,Y,Monaco,Monaco,38 mm,"S$56,851",https://www.chrono24.sg/rolex/milgauss-1019-rare-black-dial--id19818475.htm,Top,
20768149,"Rolex Submariner ""Kermit""",Automatic,Steel,2013,Good,16610LV,Y,N,Singapore,Singapore,40 mm,"S$23,888",https://www.chrono24.sg/rolex/rolex-submariner-kermit--id20768149.htm,,
20055741,Rolex Explorer II,Automatic,Steel,2009,Very good,16570,Y,N,Singapore,Singapore,40 mm,"S$12,450",https://www.chrono24.sg/rolex/explorer-ii--id20055741.htm,,
19060524,Rolex YG | Paul Newman Daytona 116508,Automatic,Yellow gold,2021,Unworn,116508,Y,Y,Singapore,,40 mm,Price on request,https://www.chrono24.sg/rolex/yg--paul-newman-daytona-116508--id19060524.htm,,
20708314,Rolex Oyster Date precision ref. 6694 with champagne dial 34mm,Manual winding,Steel,1969,Good,6694,N,N,Singapore,Singapore,34 mm,"S$3,292",https://www.chrono24.sg/rolex/rolex-oyster-date-precision-ref-6694-with-champagne-dial-34mm--id20708314.htm,,
15927529,Rolex Batgirl GMT II 126710BLNR,Automatic,Steel,2020,Unworn,126710BLNR,Y,Y,Singapore,,40 mm,Price on request,https://www.chrono24.sg/rolex/batgirl-gmt-ii-126710blnr--id15927529.htm,,
16147302,Rolex Oysterdate Precision,Manual winding,Steel,-,Good,6694,N,N,Singapore,,34 x 40 mm,"S$3,200",https://www.chrono24.sg/rolex/rolex-oysterdate-precision--id16147302.htm,,
19764913,Rolex GMT-Master II,Automatic,Yellow gold,2019,Very good,116718LN,Y,Y,Singapore,,40 mm,"S$79,850",https://www.chrono24.sg/rolex/rolex-gmt-master-ii--id19764913.htm,,
20359151,Rolex GMT-Master II,Automatic,Steel,2008,Very good,116710LN,Y,Y,Singapore,Singapore,40 mm,"S$16,500",https://www.chrono24.sg/rolex/gmt-master-ii--id20359151.htm,,
20184932,Rolex Daytona White dial in Stainless Steel Ref: 116520,Automatic,Steel,2008,Good,116520,Y,N,Singapore,,40 mm,"S$31,050",https://www.chrono24.sg/rolex/rolex-daytona-white-dial-in-stainless-steel-ref-116520--id20184932.htm,,
16985938,Rolex Chronograph Pre-Daytona 6034,Manual winding,Steel,1953,Good,6034,N,N,Singapore,,36 mm,Price on request,https://www.chrono24.sg/rolex/rolex-chronograph-pre-daytona-6034--id16985938.htm,,
20643975,"Rolex Submariner Date ""Red Sub"" service dial, watch only.",Automatic,Steel,1972,Fair,1680,N,N,Singapore,,40 mm,"S$20,988",https://www.chrono24.sg/rolex/rolex-submariner-date-red-sub-service-dial-watch-only--id20643975.htm,,
18879059,"Rolex Submariner 5513 serif dial, 2.6 mil series, box and papers.",Automatic,Steel,1971,Fair,5513,Y,Y,Singapore,,40 mm,"S$28,944",https://www.chrono24.sg/rolex/rolex-submariner-5513-serif-dial-26-mil-series-box-and-papers--id18879059.htm,,
19634535,Rolex Datejust,Automatic,Steel,2021,Very good,126200,Y,Y,Singapore,350117,36 mm,"S$10,600",https://www.chrono24.sg/rolex/datejust--id19634535.htm,,
20055741,Rolex Explorer II,Automatic,Steel,2009,Very good,16570,Y,N,Singapore,Singapore,40 mm,"S$12,450",https://www.chrono24.sg/rolex/explorer-ii--id20055741.htm,,
17413971,Rolex RG | Brown Arabic Daytona Oysterflex 116515LN,Automatic,Rose gold,2018,Unworn,116515LN,Y,Y,Singapore,,40 mm,Price on request,https://www.chrono24.sg/rolex/rg--brown-arabic-daytona-oysterflex-116515ln--id17413971.htm,,
8943254,Rolex Lady-Datejust,Automatic,Steel,2006,Very good,179174,Y,Y,Singapore,162131,26 mm,"S$5,800",https://www.chrono24.sg/rolex/lady-datejust--id8943254.htm,,
19810665,Rolex Datejust,Automatic,Steel,1978,Very good,6917,Y,Y,Singapore,,26 mm,"S$5,650",https://www.chrono24.sg/rolex/rolex-datejust--id19810665.htm,,
19219206,Rolex TT | Champagne Diamonds Daytona 116503,Automatic,Gold/Steel,2020,Unworn,116503,Y,Y,Singapore,,40 mm,Price on request,https://www.chrono24.sg/rolex/tt--champagne-diamonds-daytona-116503--id19219206.htm,,
20611078,Rolex Oyster Perpetual,Automatic,Steel,1969,Good,1002,N,N,Singapore,Singapore,34 mm,"S$3,900",https://www.chrono24.sg/rolex/rolex-oyster-perpetual--id20611078.htm,,
20359151,Rolex GMT-Master II,Automatic,Steel,2008,Very good,116710LN,Y,Y,Singapore,Singapore,40 mm,"S$16,500",https://www.chrono24.sg/rolex/gmt-master-ii--id20359151.htm,,
